folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
"Folio 4bis recto, L.14",In sente goedelen proechie en(de) daer omtrent ,La femme de Heinrec van der arcken,vedermaker,1 part de terre (1 dele lands),,devant sa maison là où il vit,1 denier
"f°4bis recto, l.15",In sente goedelen proechie en(de) daer omtrent ,Heinrec Stovere,?,1 cleine dele lands,,"""bi sinen huis bi der Arcken""",1 obole
"f° 4bis recto, l.16",In sente goedelen proechie en(de) daer omtrent ,Heinrec Nappe,?,sine voerhoede sire hofstat,,op den hoernoc daermen gheet ter vladen werd in de prochiaen strate,1 denier
"F°4bis recto, l.17",In sente goedelen proechie en(de) daer omtrent ,Aerd de Bruxkene,"""de briedere""",1 voerhoede sire hofstat,,in de potterie,1 obole
"f°4bis recto, l.18",In sente goedelen proechie en(de) daer omtrent ,Willem Baraet,"""de borsemakere""","""van den selve goede""",,/,1 obole
"f°4bis recto, l.19.",In sente goedelen proechie en(de) daer omtrent ,Willem van Lidekercke,de timmerman,1 voerhoede sire hofstat van nuwes,,?,1 denier
"F°4bis recto, l.20 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Jan sverlar/snelar/snerbar de smet],?,[1 oestalle/ocstalle],,[op den hornec van der vleschouwer strate],1 denier
"f°4bis recto, l.21",In sente goedelen proechie en(de) daer omtrent ,Reynere Oemen,"""tser Peters Oemens sone""",van goede dat was Jan Seghers van 1 voervanghe,,"""tuschen dach ende naecht""",3 deniers
"f°4bis recto, l.22",In sente goedelen proechie en(de) daer omtrent ,Vrancke van Waelhem,?,1 obstalle ,,"""achter Meskens neven den wech van der wrande (warande?)""",3 deniers
"f°4bis recto, l.23",In sente goedelen proechie en(de) daer omtrent ,Gilijs Hilleman,?,1 voerhoede sire hofstat dat was Jan Seghers,,In de Pottria,3 deniers
"f°4bis recto, l.24",In sente goedelen proechie en(de) daer omtrent ,Jans wijf van Bruichem was,?,1 voerhoede hare hofstat,,in de pottria,1 denier
"f°4bis recto, l.25",In sente goedelen proechie en(de) daer omtrent ,Heinrec Sceppere,de briedere,"""tser godevert cnape van brabant van eere hofstat""",,"""op de hoernoc in de pottria""",1 denier
"f°4bis recto, l.26 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Jan Bote],"[""Gilijs Boets sone""]","[2 stucke beemds die waren Claes tfleeschouwers diemen hiet Meyer""]",,[in de prochie van Berchem],2 sous
"f°4bis recto, l.27",In sente goedelen proechie en(de) daer omtrent ,Jan Seghers  (puis Jan Storem?),?,"goede ""dat was Jans Magrieten sone""",,"""te jette""",15 deniers
"f°4bis recto, l.28",In sente goedelen proechie en(de) daer omtrent ,Jan Seghers?,?,"""goede dat was Reyners van Ledeberghe""",,"""In dbroec""",2 chapons
"f°4bis recto, l.29",In sente goedelen proechie en(de) daer omtrent ,Nychasijs de smet van brugghelet van Henegouwe,?,sine mure ,,"""ane tsertoghen poerte buten sente goedelen daer sine huis [op steet?]""",12 deniers?
"f°4bis verso, l.1 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Jan van Bruchens],"[""Willem sone van Bruchens"", ""tpotghiets""]",[1 voervanghe],,"[""in de pottria in de rose tusschen de porte uten de strodeckere ende Jan Faes""]",[1 denier]
"f°4bis verso, l.2",In sente goedelen proechie en(de) daer omtrent ,Vrancke (de cordewanijr?),"""de cordewanijr?""",1 voervanghe (die liftoecht pleeght te Halene?),,bi den Alboem,2 deniers
"f°4bis verso, l.3",In sente goedelen proechie en(de) daer omtrent ,Willem Hertewijc (puis Heinrec?),?,"""van goede dat was Jans Gilijs Halfhuis kindere""",,"""te byseghem????""",21 deniers
"f°4bis verso, l.4",In sente goedelen proechie en(de) daer omtrent ,"Willem Hertewijc (""de selve"")",?,"""2 dachwant beemds van goede dat was Yven kindere van den Drijsche""",,Te Laken,5 ou 5 et demi ou 6 deniers ?
"f°4bis verso, l.5",In sente goedelen proechie en(de) daer omtrent ,Woutere Vinke,?,1 dachwande beemts ende 3? Buenen? lants,,"""ten driessche achter sijn hof'","3 deniers? 3,5 deniers?"
"f°4bis verso, l.6",In sente goedelen proechie en(de) daer omtrent ,Willem Hertewijc,?,"1/2 dachwande beemds (gecoecht jegen Kateline van Beverne)""",,?,3 deniers 
"f°4bis verso, l.7",In sente goedelen proechie en(de) daer omtrent ,Willem Hertewijc ou/puis Sinte Claren?,?,3 dachwande beems (gecoecht jeghen Janne den Smet den vedermak(er)e',,"""op den steenwech""",12 deniers
"f°4bis verso, l.8",In sente goedelen proechie en(de) daer omtrent ,Jan Vinke,"""de beckere""",sine voerhoede sire hofstat,,in de prochian strate,1 denier
"f°4bis verso, l.9",In sente goedelen proechie en(de) daer omtrent ,Magriete Daneels Wijsch dochter Was?,?,van goede (dat was Gilijs Boecs wilen Gherems Coelzacs-,,buten dovermolen poerte naest Godevert van Brabant ende boerlacs,6 deniers
"f°4bis verso, l.10",In sente goedelen proechie en(de) daer omtrent ,Kateline van den Bloemarde,"""joffrouwe""",van 1 voervanghe,,"""ane hare huis daer si in woent in de berchstrate""",1 denier
"f°4bis verso, l.11",In sente goedelen proechie en(de) daer omtrent ,Jan van Conixloe,?,1 cleinen dele van 1 obstalle van Jans Kerldermuis goede,,vore sine huis jeghen Menzebergs,1 denier
"f°4bis verso, l.12",In sente goedelen proechie en(de) daer omtrent ,Jan van Conixloe,?,1 voervanghe ,,"""vore sine huis buten sente Kateline poerten bi Jans Daneels smeeds""",2 deniers
"f°4bis verso, l.13",In sente goedelen proechie en(de) daer omtrent ,Aerd van Hercke,"""de cousmakere""",sine voerhoede van sire hofstat van sire venstren,,"""vore sine huis""",1 denier
"f°4bis verso, l.14",In sente goedelen proechie en(de) daer omtrent ,Gilijs Bote,"""Gilijs Boecs sone""",1 anderen dele dat was Yven van den Drijsche,,Te Laken,"2,5 sous"
"f°4bis verso, l.15",In sente goedelen proechie en(de) daer omtrent ,Daneel Clutinc van Mechle,?,1 voerhoede sire hofstat,,"""Bi der Scolen""",2 deniers?
"f°4bis verso, l.16",In sente goedelen proechie en(de) daer omtrent ,Magriete Cluetincs,"""Joffrouwe""","van den selven voerhoede""",,/,2 deniers nn?
"f°4bis verso, l.16 aussi",In sente goedelen proechie en(de) daer omtrent ,Katheline Cluetincs,Joffrouwe,"""van den selver""",,"""van den selver""",2 deniers nn ?
"f°4bis verso, l.17",In sente goedelen proechie en(de) daer omtrent ,Jan Coelman,?,1 voerhoede sire hofstat,,"""achter tswolfs in de Savelstrate op de Senne""",1 denier
"f°4bis verso, l.18",In sente goedelen proechie en(de) daer omtrent ,Jan Camborne,de briedere,1 voerhoede sire hofstat  ,,supra camborne ieghen Vranx van den Camborne,3 deniers
"f°4bis verso, l.19",In sente goedelen proechie en(de) daer omtrent ,Jan quade,pape?,goede dat Willems Pauwels was van nuws,,?,1 denier
"f°4bis verso, l.20",In sente goedelen proechie en(de) daer omtrent ,Jan Quade,pape?,""" de selve goede dat was Jan onder den wijngard tfriemmakers van 1 cleinen hoernocke van sine huis""",,in de pottria,1 denier
"f°4bis verso, l.21",In sente goedelen proechie en(de) daer omtrent ,Jacob (de ghelaesmakere?),de ghelaesmakere?,der stat,,"""daer sijn wijngard op steet ieghen cantersteen""",3 deniers
"f°4bis verso, l.22",In sente goedelen proechie en(de) daer omtrent ,Woutere van Vilvoerde,de beckere,eere hofstat (die was Amelrex tays stekelincs),,ieghen cantersteen,obole
"f°4bis verso, l.23",In sente goedelen proechie en(de) daer omtrent ,Heilwijch (Scrijnmakers?),"""Adaems Scrijnmakers dochter""",1 voerhoede sire hofstat,,in de berchstrate,2 deniers
"f°4bis verso, l.24",In sente goedelen proechie en(de) daer omtrent ,Jos van Prendael,?,1 obstalle ,van sire moeder goede Oden Boyden tsvarters,"""op de side van sine huis in de loxhemstrate""",1 denier
"f°4bis verso, l.25",In sente goedelen proechie en(de) daer omtrent ,Peter de Walsche,de timmerman,1 voerhoede,van sire hofstat,?,1 denier
"f°4bis verso, l.26",In sente goedelen proechie en(de) daer omtrent ,Jan Moers,?,1 voerhoede ,"sire hofstat, van Heinrec Jaghers goede tsbrieders",In Wijskens camme,3 deniers
"f°4bis verso, l.27",In sente goedelen proechie en(de) daer omtrent ,?,?,sijn wegh(en),"""van goede tossenem""?",?,2 deniers
"f°4bis verso, l.27 aussi",In sente goedelen proechie en(de) daer omtrent ,?,?,1 voervanghe,/,vore de rose in de pottrie,1 denier
"f°4bis verso, l.28",In sente goedelen proechie en(de) daer omtrent ,Ghijsbrecht Sabel,her,1 voervanghe,"""van Marien goede tswayers de beghine die was [le voervanghe il me semble] tser Willems van Lyra"" ",in de nuwe strate,1 denier
"f°4bis verso, l.29",In sente goedelen proechie en(de) daer omtrent ,Heinrec Trekel,?,1 voervanghe,van Lisen Sweenkens goede,in de loxhem strate,1 denier
"f°4bis verso, l.30 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Jan de hou/ntmolen],[?],[1 hofstat],[die was seghers van campernalijs borne],[ieghen sente laureis kercke],[9 deniers]
"f°4bis verso, l.31",In sente goedelen proechie en(de) daer omtrent ,Jans Huse van Londersele,?,1 voervanghe,sire hofstat,"""daer achter"" et ""buten sente goedelen poerten in de recht[strate]""",12 deniers
"f°4bis verso, l.32",In sente goedelen proechie en(de) daer omtrent ,Everart Bote,Her,1 voerhoede,sire hofstat,bi de warmoespoerte,1 denier
"f°4bis verso, l.33",In sente goedelen proechie en(de) daer omtrent ,Vrancke van Winckesele,Her,sinen trappen vore sine huis,"""vore sine huis""","""bi Arnouds Magnus bi den borne""",obole
"f°4bis verso, l.34",In sente goedelen proechie en(de) daer omtrent ,Lambrecht van der Vuren de pape?,Her,1 voerhoede,(van) sire hofstat,bi sente goedelen ieghen tser Heinrec Hildebouts,1 denier
"f°4bis verso, l.35",In sente goedelen proechie en(de) daer omtrent ,Dabt van Perreke,?,eere hofstat ,/,bi sente mertens kerchof bi den mure,1 denier
"f°4bis verso, l.36",In sente goedelen proechie en(de) daer omtrent ,Godevert van der Vuren,Her,1 voervanghe,"""vore siine huis""",ieghen her Heinrec Hildebout over,3 deniers
"f°4bis verso, l.37",In sente goedelen proechie en(de) daer omtrent ,Jan Adelen,?,1 voervanghe,vore sine huis,ighen her Heinrec Hildebouts over,2 deniers
"f°5 recto, l.1",In sente goedelen proechie en(de) daer omtrent ,Jan van Coslaer,"Her / ""Her van Witham""",1 huis,"""dat wilen was tser heinrec van der balct""",in tetegat,12 vieux gros
"f°5 recto, l.2",In sente goedelen proechie en(de) daer omtrent ,Gilijs Bake ,"Her et ""de pape""",eere hofstat,"""die was Her Symoens Ihesus""",?,obole
"f°5 recto, l.3",In sente goedelen proechie en(de) daer omtrent ,Godevert Kerreken,?,van goede,dat was tser heinrex van nosseghem,?,2 deniers
"f°5 recto, l.4",In sente goedelen proechie en(de) daer omtrent ,Willem Eyckart,?,1 deele obstals,van Reyners appelmans goede,"""daer""",1 denier
"f°5 recto, l.5",In sente goedelen proechie en(de) daer omtrent ,Willem Eyckart,?,1 voervanghe,vore sijn huis,op de honsgraecht,2 deniers
"f°5 recto, l.6",In sente goedelen proechie en(de) daer omtrent ,Jan van Kets,"Her et ""de pape""",1 voerhoede,sire hofstat,boven der scolen,1 denier
"f°5 recto, l.7",In sente goedelen proechie en(de) daer omtrent ,Heinrec (ou/puis Jan?) Esselen,Her,eere poerten?,"""van Ghijsbrechts tsfriesen dat proefst van loven was""","""daer woend heinrec de poerter""",1 denier
"f°5 recto, l.8",In sente goedelen proechie en(de) daer omtrent ,Ghysbrecht de vriese,?,1 stratkene,,"""achter Vrancke Muels op de hoghestrate",1 denier
"f°5 recto, l.9 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Mechiel Scalie],[her],[1 goede],/,[in de prochie van molenbeke],[1 denier]
"f°5 recto, l.10",In sente goedelen proechie en(de) daer omtrent ,Mechiel Scalie,her,1 obstalle ende van den velde?,"obstalle ""tegghevoert bi sine molen van der beke die loept uten vijvere ende van den velde daerin gheet te jetterbeke weerd""",,9 deniers
"f°5 recto, l.11 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Mechiel Scalie],[her],[1 berghe],[van goede dat was Jans coelnere van jetterbeke bi egghenvoert day gilijs was van berlaer],?,[2 deniers]
"f°5 recto, l.12",In sente goedelen proechie en(de) daer omtrent ,Mechiel Scalie,her,1 broecke,"""dat was godeverts wainne/wenine ou encore werdinne?) van Mons ","""te jetterbeke""",6 deniers
"f°5 recto, l.13",In sente goedelen proechie en(de) daer omtrent ,Jan van Sombreffe,?,1 grade,vore sine huis',"""in tetegat""",6 deniers
"f°5 recto, l.14",In sente goedelen proechie en(de) daer omtrent ,Kateline tsertoghen,joffrouwe,1 voervanghe van haren huis,"van goede dat was Beatrise van Loembeke""",in tetegat,1 denier
"f°5 recto, l.15",In sente goedelen proechie en(de) daer omtrent ,Jan Thonijs?,meester,1 weghe ,,onder de strate achter scole,1 denier
"f°5 recto, l.16",In sente goedelen proechie en(de) daer omtrent ,Lyse Kaye,joffrouwe,1 obstalle ,"""daer haer muir op staat"" et ""van gode dat was tser godeverts van mons prochiaens""",bi de scole,1 denier
"f°5 recto, l.17",In sente goedelen proechie en(de) daer omtrent ,Hughe van Coudenberghe,"her, ""tser geldolfs sone van coudenberghe""",1 plaetsen lands,/,gheleghen ane den wech tophem weerds,2 chapons et 2 oies
"f°5 recto, l.18",In sente goedelen proechie en(de) daer omtrent ,Peter van den Huffle,her,1 voervanghe van tuee voeten,sire hofstat,buten sente goedelen poerten boven thonijs wisselen huse,1 denier
"f°5 recto, l.19",In sente goedelen proechie en(de) daer omtrent ,Rombout de pott(er)e?,de steenbickelere,?,/,bi den alboem buten sente goedelen poerte in den rechten wech op den hoernoc,2 ? (montant effacé)
"f°5 recto, l.20",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,1 obstalle ,"sijns huis, van goede dat was Rulen Boets, dat was Heinrec Poerters ende her Oemens",?,1 denier
"f°5 recto, l.21",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,van goede,"""dat was Mechiels hondelosen dat was Inghbrechts tfedermakers""",te Jette,6 deniers
"f°5 recto, l.22",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,eere beke,"""dat was inghbrechts voerserder""",die loept in dwater,3 deniers
"f°5 recto, l.22 aussi",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,van der molen tserrewerre? ,?,tserrewerre,2 deniers?
"f°5 recto, l.23",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,goede,"""dat ghecoecht was ieghen geylen van neder jette""?",neder jette?,1 denier 1 tournoy
"f°5 recto, l.24",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,goede,"""dat was ghecoecht ieghen Claes coenen ende sine broeder""",?,12 deniers
"f°5 recto, l.25",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,1/2 dachwant broecs,dat was Gosen Jacobs,?,3 deniers
"f°5 recto, l.26",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,1 obstalle,achter sine huis gheleghen,te hekelghem,1 denier
"f°5 recto, l.27",In sente goedelen proechie en(de) daer omtrent ,Willem de hertoghe,her,1 dele van 1 obstalle ,"""van nuws ghegheven""",?,1 denier
"f°5 recto, l.28 (barré)",In sente goedelen proechie en(de) daer omtrent ,[Jan Storem?],[?],[1 drijsche],?,[bi der sierckerliede tobbrucele],3 deniers
"f°5 recto, L.29",In sente goedelen proechie en(de) daer omtrent ,Ghijsbrecht Taye?,"""Mechiels tays sone""",1 broecke,/,te Meltbroec,10 sous
"f°5 recto, l.30",In sente goedelen proechie en(de) daer omtrent ,Ghijsbrecht Taye?,Mechiels tays sone,goede,dat was wilen Willems van Percke,in de Bleickerie,6 deniers
"f°5 recto, l.31",In sente goedelen proechie en(de) daer omtrent ,Heinrec van Morsele,her,eere hofstat,die was der joffrouwe(n) Hasenoghinnen,?,"1,5  deniers"
"f°5 recto, l.32",In sente goedelen proechie en(de) daer omtrent ,Heinrec vedermans wijf,"""heinrec vedermans wijf""",eere hofstat,/,op Coudenberch,obole
"f°5 recto, l.33",In sente goedelen proechie en(de) daer omtrent ,De wijf van Heinrec vederman,"""heinrec vedermans wijf""",eere hofstat,/,"""bi troechroede""",3 deniers
"f°5 recto, l.34",In sente goedelen proechie en(de) daer omtrent ,Gherem Vederman,her,sinen huse,/,"""bi Clemencien Maethems""",1 denier
"f°5 recto, l.35",In sente goedelen proechie en(de) daer omtrent ,Gherem Vederman,her,goede,dat Heinrec Molimans wijf was dat Willems was van trijcht ,in Vederstrate,3 deniers
"f°5 recto, l.36",In sente goedelen proechie en(de) daer omtrent ,Heinrec van den Grave,de wapenscurder,1 voervanghe,-,in de berch strate,2 deniers
"f°5 verso, l.1",In sente goedelen proechie en(de) daer omtrent ,Amelrec van Boutsvoert,de vedermaker,vore sine huis,"""van nuws""",?,1 denier
"f°5 verso, l.2",In sente goedelen proechie en(de) daer omtrent ,?,?,goede,dat Amelrec Coyers,in dorsendeal,tfirendeel van 1 capune
"f°5 verso, l.3",In sente goedelen proechie en(de) daer omtrent ,?,?,"""noch""",van nuw,daer,12 deniers
"f°5 verso, l.4",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,1 grade vore sine huis,va(n) goede dat was Heinr(ec) va(n) der Noet va(n) ene(n) g(ra)de vor(e) sine huis dat was Vranx va(n) den T(ra)ppen ,bi de Waersmoes poerte,3 deniers
"f°5 verso, l.5",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,de selve,van der selver hofstat van sente Syonijs tseise,bi de Waersmoes poerte?,1 denier
"f°5 verso, l.6",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,van der naester hofstat daer woende Lodewijc van boutsvoert,van der selven tseise,?,1 denier
"f°5 verso, l.7",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,1 beemde,die was jan halflhuis,"""die heet de desselbeemt die leet tosseghem in de prochie van Laken""",1 denier
"f°5 verso, l.8",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,1 obstalle,"""vore sine huis""",buten den overmolen poerte,3 deniers
"f°5 verso, l.9",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,2 boenren vivers ocht eelsbroe,die waren der kinder van der plast,te laken,2 deniers
"f°5 verso, l.10",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,1 beemde,van goede dat was Jan Nolens,te Haren,6 deniers
"f°5 verso, l.11",In sente goedelen proechie en(de) daer omtrent ,Claes Swaef,her,den vivers ende van den eelsbroecke,die waren colijns van ossenem,te Laken,"1,5 deniers"
"f°5 verso, l.12",In sente goedelen proechie en(de) daer omtrent ,Heinrec van der Noet,?,1 cleine deele obstals van den vivere,dat was her goudsmet,bi der cammen die men heet oghe tophem,6 deniers
"f°5 verso, l.13",In sente goedelen proechie en(de) daer omtrent ,Heinrec van der Noet,?,1 obstalle ,-,tophem bi de oghe,3 veertelen evenen
"f°5 verso, l.14",In sente goedelen proechie en(de) daer omtrent ,Heinrec van der Noet,?,1 voervanghe,-,ter driesmolen,1 denier
"f°5 verso, l.15",In sente goedelen proechie en(de) daer omtrent ,Diderec van heetvelde,?,1 obstalle,die was Jans Ghieters,tophem ,1 denier
"f°5 verso, l.16",In sente goedelen proechie en(de) daer omtrent ,Diderec van heetvelde,?,1 voervanghe,vore sijn hof ane strate,ter driesmolen,1 denier
"f°5 verso, l.17",In sente goedelen proechie en(de) daer omtrent ,Diderec van heetvelde,?,eere hofstat,die was rulens cappe,tophem bi der molen die smout sleet,3 veertelen evenen et 2 deniers
"f°5 verso, l.18",In sente goedelen proechie en(de) daer omtrent ,Diderec van heetvelde,?,1 deele boschs,daer heinrec van overvelt heeft dander deel,te Rode,2 sous
"f°5 verso, l.19",In sente goedelen proechie en(de) daer omtrent ,Willem de Boc,?,1 voervanghe sire hofstat,van goede dat was heinrec van der smaelderbeke tsboeckers,op de vlade ,1 denier
"f°5 verso, l.20",In sente goedelen proechie en(de) daer omtrent ,Alijt van Vlesenbeke,?,1 deele obstals vore sine huis,van Katelinen Goetsalcs weghen,bi sente goedelen poerte,6 deniers
"f°5 verso, l.21",In sente goedelen proechie en(de) daer omtrent ,Jan van Merbeke,?,1 voerhoede ,vore sire huis,?,1 denier
"f°5 verso, l.22",In sente goedelen proechie en(de) daer omtrent ,Heinrec Mutsaert,?,sine voerhoede sire hofstat,-,in de Pottria,1 denier
